YBL041W,PRE7,TFIID-dominated
YBL042C,FUI1,SAGA-dominated
YBL043W,ECM13,SAGA-dominated
YBL044W,YBL044W,no_call
YBL045C,COR1,TFIID-dominated
YBL046W,PSY4,TFIID-dominated
YBL047C,EDE1,TFIID-dominated
YBL048W,RRT1,TFIID-dominated
YBL049W,MOH1,TFIID-dominated
YBL050W,SEC17,TFIID-dominated
YBL051C,PIN4,TFIID-dominated
YBL052C,SAS3,TFIID-dominated
YBL053W,YBL053W,TFIID-dominated
YBL054W,TOD6,TFIID-dominated
YBL055C,YBL055C,TFIID-dominated
YBL056W,PTC3,TFIID-dominated
YBL057C,PTH2,TFIID-dominated
YBL058W,SHP1,TFIID-dominated
YBL059W,YBL059W,TFIID-dominated
YBL060W,YEL1,TFIID-dominated
YBL061C,SKT5,TFIID-dominated
YBL062W,YBL062W,SAGA/TFIID
YBL063W,KIP1,TFIID-dominated
YBL064C,PRX1,SAGA-dominated
YBL065W,YBL065W,no_call
YBL066C,SEF1,TFIID-dominated
YBL067C,UBP13,TFIID-dominated
YBL068W,PRS4,TFIID-dominated
YBL069W,AST1,SAGA-dominated
YBL070C,YBL070C,no_call
YBL071C,YBL071C,TFIID-dominated
YBL072C,RPS8A,TFIID-dominated
YBL073W,YBL073W,TFIID-dominated
YBL074C,AAR2,TFIID-dominated
YBL075C,SSA3,no_call
YBL076C,ILS1,TFIID-dominated
YBL077W,YBL077W,TFIID-dominated
YBL078C,ATG8,SAGA-dominated
YBL079W,NUP170,no_call
YBL080C,PET112,TFIID-dominated
YBL081W,YBL081W,TFIID-dominated
YBL082C,ALG3,TFIID-dominated
YBL083C,YBL083C,TFIID-dominated
YBL084C,CDC27,no_call
YBL085W,BOI1,no_call
YBL086C,YBL086C,TFIID-dominated
YBL087C,RPL23A,TFIID-dominated
YBL088C,TEL1,TFIID-dominated
YBL089W,AVT5,TFIID-dominated
YBL090W,MRP21,TFIID-dominated
YBL091C,MAP2,TFIID-dominated
YBL092W,RPL32,TFIID-dominated
YBL093C,ROX3,TFIID-dominated
YBL094C,YBL094C,TFIID-dominated
YBL095W,YBL095W,TFIID-dominated
YBL096C,YBL096C,TFIID-dominated
YBL097W,BRN1,TFIID-dominated
YBL098W,BNA4,SAGA/TFIID
YBL099W,ATP1,TFIID-dominated
YBL100C,YBL100C,TFIID-dominated
YBL101C,ECM21,SAGA-dominated
YBL102W,SFT2,TFIID-dominated
YBL103C,RTG3,TFIID-dominated
YBL104C,SEA4,no_call
YBL105C,PKC1,no_call
YBL106C,SRO77,TFIID-dominated
YBL107C,YBL107C,no_call
YBL108W,YBL108W,no_call
YBL109W,YBL109W,no_call
YBL111C,YBL111C,TFIID-dominated
YBL112C,YBL112C,TFIID-dominated
YBL113C,YBL113C,TFIID-dominated
YBR001C,NTH2,TFIID-dominated
YBR002C,RER2,TFIID-dominated
YBR003W,COQ1,TFIID-dominated
YBR004C,GPI18,SAGA-dominated
YBR005W,RCR1,SAGA-dominated
YBR006W,UGA2,SAGA-dominated
YBR007C,DSF2,TFIID-dominated
YBR008C,FLR1,TFIID-dominated
YBR009C,HHF1,TFIID-dominated
YBR010W,HHT1,TFIID-dominated
YBR011C,IPP1,TFIID-dominated
YBR012C,YBR012C,SAGA-dominated
YBR012W-A,YBR012W-A,SAGA-dominated
YBR012W-B,YBR012W-B,SAGA-dominated
YBR013C,YBR013C,TFIID-dominated
YBR014C,GRX7,TFIID-dominated
YBR015C,MNN2,TFIID-dominated
YBR016W,YBR016W,TFIID-dominated
YBR017C,KAP104,no_call
YBR018C,GAL7,no_call
YBR019C,GAL10,TFIID-dominated
YBR020W,GAL1,no_call
YBR021W,FUR4,TFIID-dominated
YBR022W,POA1,TFIID-dominated
YBR023C,CHS3,TFIID-dominated
YBR024W,SCO2,TFIID-dominated
YBR025C,OLA1,TFIID-dominated
YBR026C,ETR1,TFIID-dominated
YBR027C,YBR027C,no_call
YBR028C,YPK3,TFIID-dominated
YBR029C,CDS1,TFIID-dominated
YBR030W,RKM3,TFIID-dominated
YBR031W,RPL4A,TFIID-dominated
YBR032W,YBR032W,no_call
YBR033W,EDS1,TFIID-dominated
YBR034C,HMT1,TFIID-dominated
YBR035C,PDX3,TFIID-dominated
YBR036C,CSG2,TFIID-dominated
YBR037C,SCO1,TFIID-dominated
YBR038W,CHS2,TFIID-dominated
YBR039W,ATP3,TFIID-dominated
YBR040W,FIG1,no_call
YBR041W,FAT1,TFIID-dominated
YBR042C,CST26,TFIID-dominated
YBR043C,QDR3,TFIID-dominated
YBR044C,TCM62,TFIID-dominated
YBR045C,GIP1,TFIID-dominated
YBR046C,ZTA1,TFIID-dominated
YBR047W,FMP23,no_call
YBR048W,RPS11B,TFIID-dominated
YBR049C,REB1,TFIID-dominated
YBR050C,REG2,no_call
YBR051W,YBR051W,no_call
YBR052C,RFS1,TFIID-dominated
YBR053C,YBR053C,TFIID-dominated
YBR054W,YRO2,SAGA-dominated
YBR055C,PRP6,TFIID-dominated
YBR056W,YBR056W,TFIID-dominated
YBR057C,MUM2,TFIID-dominated
YBR058C,UBP14,TFIID-dominated
YBR059C,AKL1,TFIID-dominated
YBR060C,ORC2,TFIID-dominated
YBR061C,TRM7,TFIID-dominated
YBR062C,YBR062C,TFIID-dominated
YBR063C,YBR063C,TFIID-dominated
YBR064W,YBR064W,TFIID-dominated
YBR065C,ECM2,TFIID-dominated
YBR066C,NRG2,TFIID-dominated
YBR067C,TIP1,TFIID-dominated
YBR068C,BAP2,SAGA-dominated
YBR069C,TAT1,TFIID-dominated
YBR070C,ALG14,TFIID-dominated
YBR071W,YBR071W,SAGA-dominated
YBR072W,HSP26,SAGA-dominated
YBR073W,RDH54,TFIID-dominated
YBR074W,YBR074W,TFIID-dominated
YBR076W,ECM8,TFIID-dominated
YBR077C,SLM4,TFIID-dominated
YBR078W,ECM33,SAGA-dominated
YBR079C,RPG1,TFIID-dominated
YBR080C,SEC18,TFIID-dominated
YBR081C,SPT7,TFIID-dominated
YBR082C,UBC4,TFIID-dominated
YBR083W,TEC1,SAGA-dominated
YBR084C-A,RPL19A,TFIID-dominated
YBR084W,MIS1,TFIID-dominated
YBR085W,AAC3,SAGA-dominated
YBR086C,IST2,TFIID-dominated
YBR087W,RFC5,TFIID-dominated
YBR088C,POL30,SAGA-dominated
YBR089W,YBR089W,SAGA-dominated
YBR090C,YBR090C,TFIID-dominated
YBR091C,TIM12,TFIID-dominated
YBR092C,PHO3,SAGA/TFIID
YBR093C,PHO5,SAGA/TFIID
YBR094W,PBY1,TFIID-dominated
YBR095C,RXT2,TFIID-dominated
YBR096W,YBR096W,TFIID-dominated
YBR097W,VPS15,no_call
YBR098W,MMS4,TFIID-dominated
YBR099C,YBR099C,TFIID-dominated
YBR101C,FES1,TFIID-dominated
YBR102C,EXO84,SAGA-dominated
YBR103W,SIF2,TFIID-dominated
YBR104W,YMC2,TFIID-dominated
YBR105C,VID24,SAGA-dominated
YBR106W,PHO88,TFIID-dominated
YBR107C,IML3,TFIID-dominated
YBR108W,AIM3,TFIID-dominated
YBR109C,CMD1,TFIID-dominated
YBR110W,ALG1,TFIID-dominated
YBR111C,YSA1,TFIID-dominated
YBR112C,CYC8,TFIID-dominated
YBR113W,YBR113W,TFIID-dominated
YBR114W,RAD16,TFIID-dominated
YBR115C,LYS2,SAGA-dominated
YBR116C,YBR116C,no_call
YBR117C,TKL2,SAGA-dominated
YBR118W,TEF2,SAGA-dominated
YBR119W,MUD1,TFIID-dominated
YBR120C,CBP6,TFIID-dominated
YBR121C,GRS1,TFIID-dominated
YBR122C,MRPL36,TFIID-dominated
YBR123C,TFC1,TFIID-dominated
YBR124W,YBR124W,TFIID-dominated
YBR125C,PTC4,TFIID-dominated
YBR126C,TPS1,SAGA-dominated
YBR127C,VMA2,TFIID-dominated
YBR128C,ATG14,no_call
YBR129C,OPY1,TFIID-dominated
YBR130C,SHE3,TFIID-dominated
YBR131W,CCZ1,TFIID-dominated
YBR132C,AGP2,SAGA-dominated
YBR133C,HSL7,TFIID-dominated
YBR134W,YBR134W,TFIID-dominated
YBR135W,CKS1,TFIID-dominated
YBR136W,MEC1,TFIID-dominated
YBR137W,YBR137W,TFIID-dominated
YBR138C,YBR138C,TFIID-dominated
YBR139W,YBR139W,SAGA-dominated
YBR140C,IRA1,TFIID-dominated
YBR141C,YBR141C,no_call
YBR142W,MAK5,TFIID-dominated
YBR143C,SUP45,TFIID-dominated
YBR144C,YBR144C,TFIID-dominated
YBR145W,ADH5,SAGA-dominated
YBR146W,MRPS9,TFIID-dominated
YBR147W,RTC2,SAGA-dominated
YBR148W,YSW1,no_call
YBR149W,ARA1,SAGA-dominated
YBR150C,TBS1,TFIID-dominated
YBR151W,APD1,TFIID-dominated
YBR152W,SPP381,TFIID-dominated
YBR153W,RIB7,TFIID-dominated
YBR154C,RPB5,TFIID-dominated
YBR155W,CNS1,TFIID-dominated
