id, area
YJL096W,24923.9772879
YJL095W,20079.3371359
YJL094C,22368.2908367
YJL093C,19970.7718338
YJL092W,19826.2412698
YJL091C,15211.9344828
YJL090C,19067.259873
YJL089W,21951.9646091
YJL088W,38957.1368957
YJL087C,22882.3131783
YJL085W,21556.8987028
YJL086C,2868.35909091
YJL084C,16434.7937117
YJL083W,21905.1229364
YJL082W,30248.3202636
YJL081C,7585.81538462
YJL080C,20966.4200704
YJL079C,32110.461166
YJL078C,35464.4802985
YJL077W-B,8024.01442308
YJL077W-A,37087.7233476
YJL077C,17523.8967568
YJL076W,29900.7331658
YJL075C,4523.29148936
YJL074C,13369.4714932
YJL073W,12933.0376623
YJL072C,12072.7830508
YJL071W,11206.2023316
YJL070C,4737.503125
YJL069C,4230.23863636
YJL068C,20331.6988055
YJL067W,18742.4896926
YJL066C,10391.6563107
YJL064W,13509.5352273
YJL065C,9344.49661017
YJL063C,26421.6515253
YJL062W-A,26456.7708015
YJL062W,15459.8788793
YJL061W,15784.1120879
YJL060W,28786.8466564
YJL059W,3870.65217391
YJL058C,13315.0875
YJL057C,4356.13125
YJL056C,29046.6220322
YJL055W,26553.1003947
YJL054W,16077.4072848
YJL053W,12110.7508065
YJL052C-A,32065.56559
YJL052W,40524.4488567
YJL051W,10986.2448529
YJL050W,5725.872
YJL049W,13347.6378505
YJL048C,33997.4503389
YJL047C-A,14529.2348485
YJL047C,6197.93678571
YJL046W,7045.85331325
YJL045W,21077.5956175
YJL044C,16419.9660907
YJL043W,17118.7840909
YJL042W,32639.2328478
YJL041W,24566.9363958
YJL039C,22473.660828
YJL038C,13168.995614
YJL037W,13582.2009434
YJL036W,25616.1419187
YJL035C,30624.7803417
YJL034W,31386.9318792
YJL033W,9717.98305785
YJL032W,3029.93780488
YJL031C,6344.17674419
YJL030W,3690.24512195
YJL029C,12904.3906542
YJL028W,11755.4986842
YJL027C,8088.40808824
YJL026W,30060.2961843
YJL026C-A,6141.65421687
YJL025W,5734.018
YJL024C,11972.2040816
YJL022W,3822.39473684
YJL023C,10417.4859375
YJL020W-A,6155.26595745
YJL020C,12236.5940299
YJL019W,13395.5546512
YJL016W,33937.7037736
YJL015C,15400.4885559
YJL014W,18841.4576858
YJL013C,15194.9477941
YJL012C,30464.3491126
YJL011C,16975.7743842
YJL010C,5719.36458333
YJL009W,5759.8247191
YJL008C,12593.3507246
YJL007C,6447.49615385
YJL006C,29464.9071065
YJL005W,10012.6845133
YJL004C,11209.8255682
YJL003W,10603.9576471
YJL002C,23208.0582555
YJL001W,22983.438872
YJR001W,9324.30147059
YJR002W,18028.8405738
YJR003C,24391.9614518
YJR004C,28810.7264842
YJR005W,24094.7066138
YJR005C-A,5473.725
YJR006W,5002.75632911
YJR007W,23230.822649
YJR008W,24684.0429758
YJR009C,37126.252565
YJR010W,34769.5876473
YJR010C-A,10131.1437931
YJR011C,6634.37970297
YJR013W,8974.8112782
YJR012C,4175.57727273
YJR014W,9064.64414062
YJR015W,23005.1596087
YJR016C,35676.8024833
YJR018W,35546.5605735
YJR017C,15784.8739336
YJR020W,8603.31136364
YJR019C,20931.9196101
YJR021C,8538.17889908
YJR022W,11261.1840314
YJR023C,7878.94927007
YJR024C,9690.98901099
YJR025C,35669.5126836
YJR030C,7356.76027397
YJR031C,4025.36315789
YJR032W,4650.35769231
YJR033C,12303.8018182
YJR034W,13599.6248031
YJR035W,5112.70227273
YJR037W,3870.84418605
YJR036C,23689.0421296
YJR039W,22404.1949458
YJR038C,6812.84482759
YJR040W,18009.746281
YJR041C,24525.1150805
YJR042W,24875.248209
YJR043C,11008.7283582
YJR044C,8404.34618644
YJR045C,27085.4835373
YJR046W,27089.393151
YJR047C,24346.5392523
YJR048W,23842.2708167
YJR049C,20233.1231068
YJR050W,20287.5641584
YJR051W,12153.3779762
YJR052W,9283.93125
YJR053W,4802.9975
YJR054W,19943.0172598
YJR055W,16621.9718004
YJR056C,12251.4363436
YJR057W,20667.6009693
YJR058C,30802.3832031
YJR059W,30903.6624448
YJR060W,27382.4300149
YJR061W,16685.9621813
YJR062C,4883.89615385
YJR063W,4628.91190476
YJR064W,8288.20042373
YJR065C,28706.4656186
YJR066W,28212.6584763
YJR067C,8772.51
YJR068W,8771.33035714
YJR069C,4801.01304348
YJR071W,4825.64025974
YJR070C,10952.5465909
YJR072C,9961.7725
YJR073C,33074.1934647
YJR074W,24722.3757921
YJR075W,15527.2212025
YJR076C,21005.9936351
YJR077C,18650.4114754
YJR078W,20919.6842105
YJR079W,8617.5125
YJR080C,17874.4087121
YJR082C,6661.155
YJR083C,3274.87959184
YJR084W,5696.74411765
YJR085C,23599.3696194
YJR086W,23447.6740068
YJR087W,21383.691334
YJR088C,10159.8592593
YJR089W,9862.57350993
YJR090C,20460.8262626
YJR091C,27110.2802671
YJR092W,26838.0307473
YJR093C,25561.9510147
YJR094C,6000.7325
YJR094W-A,23540.2562762
YJR095W,21562.8545031
YJR096W,19331.0845088
YJR097W,15565.3751582
YJR098C,14536.3974922
YJR099W,15138.8515464
YJR100C,12136.8008621
YJR101W,20375.5031423
YJR102C,3745.17
YJR103W,25244.8446701
YJR104C,31931.4430383
YJR105W,32085.1637432
YJR106W,23020.3020263
YJR107W,17916.5633459
YJR108W,12787.0292683
YJR109C,29033.8151459
YJR110W,29007.9126984
YJR111C,19329.4731638
YJR112W,20202.1783871
YJR112W-A,18845.7216279
YJR114W,12521.5640078
YJR113C,33833.2523111
YJR115W,32616.8615886
YJR116W,33000.8847029
YJR117W,17036.0802111
YJR118C,15468.870524
YJR119C,25960.9826303
YJR120W,25543.1784173
YJR121W,20844.7046809
YJR122W,14287.9007547
YJR123W,31019.0801664
YJR124C,12298.8495349
YJR125C,21332.9625
YJR126C,18673.7145161
YJR128W,20740.7737443
YJR127C,35234.3517183
YJR129C,6767.64473684
YJR130C,15780.9572368
YJR131W,15978.9567108
YJR132W,11841.2026087
YJR133W,7876.30068493
YJR134C,14345.2325431
YJR135C,9289.78206522
YJR135W-A,8910.06792453
YJR136C,4155.29482759
YJR137C,31229.7453065
YJR138W,5968.27990654
YJR139C,26713.8291078
YJR140W-A,27110.7398077
YJR140C,3238.16707317
YJR141W,2682.9
YJR142W,5753.76044776
YJR143C,3910.44722222
YJR144W,4966.83333333
YJR145C,26111.2072086
YJR146W,29729.9097676
YJR147W,30875.6046004
YJR148W,29183.9622115
YJR149W,7430.72297297
YJR150C,17793.438
YJR151C,25445.8275
YJR151W-A,15921.1024752
YJR152W,21099.51133
YJR153W,1560.14
YJR154W,19619.0775641
YJR155W,5868.75494505
YJR156C,0
YJR157W,0
YJR158W,0
YJR159W,0
YJR160C,0
YJR161C,0
YJR162C,7501.84814815
YKL225W,16020.1360778
YKL224C,375.0
YKL223W,0.0
YKL222C,8402.934
YKL221W,8044.68072289
YKL220C,5122.25943396
YKL219W,16512.8254839
YKL218C,14106.0240196
YKL217W,29195.6791577
YKL216W,29903.8578526
YKL215C,12935.8828877
YKL214C,6501.19177215
YKL213C,29608.6698242
YKL212W,29227.7546667
YKL211C,26115.6721719
YKL210W,25057.8695445
YKL209C,11065.0635246
YKL208W,10685.5338129
YKL207W,16957.8673295
YKL206C,12070.2626374
YKL205W,11610.8255282
YKL204W,4865.07894737
YKL203C,5186.04677419
YKL202W,6138.52582418
YKL201C,24772.8330571
YKL198C,30740.8448958
YKL197C,10172.025
YKL196C,21894.6570883
YKL195W,22457.1777506
YKL194C,9578.43274648
YKL193C,13505.1433884
YKL192C,27436.1888397
YKL191W,27242.0809224
YKL190W,22136.0436396
YKL189W,12425.2125
YKL188C,13931.9990196
YKL187C,19085.9151639
YKL186C,30462.348467
YKL185W,21311.9697561
YKL184W,25989.3464639
YKL183C-A,24570.326547
YKL183W,11081.0224138
YKL182W,28832.7771267
YKL181W,22204.9579747
YKL180W,25963.6601236
YKL179C,5986.15449438
YKL177W,3314.64545455
YKL178C,28934.8170557
YKL176C,26948.4758389
YKL175W,27014.3448511
YKL174C,25752.2275916
YKL173W,25710.9366359
YKL172W,6446.55
YKL171W,21677.449537
YKL170W,24791.8762397
YKL169C,3465.06627907
YKL168C,17492.0649153
YKL167C,20852.9503743
YKL166C,19932.3664251
YKL165C-A,12659.3655125
YKL165C,4296.97340426
YKL164C,29591.0685098
YKL163W,12649.7359375
YKL162C-A,7698.11153846
YKL162C,15742.2883117
YKL161C,16802.8018248
YKL160W,10640.0908333
YKL159C,19839.5486667
YKL157W,20404.0576566
YKL156W,12068.4697959
YKL156C-A,3723.94285714
YKL155C,5074.76803279
YKL154W,3249.77272727
YKL153W,10446.298913
YKL152C,36156.5729045
YKL151C,32946.0371393
YKL150W,32999.793337
YKL149C,18872.0077621
YKL148C,26280.6968296
YKL146W,26350.1848187
YKL147C,9879.47292576
YKL145W,18176.7487358
YKL145W-A,6407.5368932
YKL144C,8416.79617834
YKL143W,8558.05545455
YKL142W,28340.8887263
YKL141W,25694.7045772
YKL140W,5317.625
YKL139W,3941.69090909
YKL138C-A,5075.74354839
YKL138C,8115.83114754
YKL137W,8870.87
YKL136W,4805.31982759
YKL135C,4879.73219178
YKL134C,11818.5121951
YKL133C,15872.2977477
YKL131W,4833.02954545
YKL132C,19988.7378299
YKL130C,7438.21486486
YKL129C,20713.0260956
YKL128C,26872.5216684
YKL127W,22254.7229592
YKL126W,28439.5517375
YKL125W,23727.3810185
YKL124W,27626.055119
YKL123W,3378.57083333
YKL122C,21465.1782297
YKL121W,5943.935625
YKL120W,31541.955572
YKL118W,5915.045625
YKL119C,9923.22397959
YKL117W,27546.6300933
YKL116C,10261.3139665
YKL115C,5042.54259259
YKL114C,8758.19045455
YKL113C,24969.4248757
YKL112W,24856.8731808
YKL111C,13024.9554217
YKL110C,27061.4450988
YKL109W,35074.9243179
YKL108W,3972.31071429
YKL107W,6618.92323944
YKL106C-A,11156.8705584
YKL106W,25412.5595096
YKL105C,16408.8389098
YKL104C,29931.7883778
YKL103C,20998.0674524
YKL102C,21660.730814
YKL101W,24420.4554286
YKL100W-A,3444.39375
YKL100C,21187.2972103
YKL099C,18528.4201657
YKL098W,18619.0679666
YKL097C,20795.7889302
YKL096C-B,16735.2659443
YKL096W-A,27009.3180965
YKL096W,23261.7900362
YKL095W,18546.5011111
YKL094W,27191.2345437
YKL093W,27669.8461245
YKL092C,7470.50322581
YKL091C,6300.77058824
YKL090W,8544.48785047
YKL089W,5545.56944444
YKL088W,8350.50416667
YKL087C,26917.8698201
YKL086W,27827.0892517
YKL085W,27590.27125
YKL084W,25860.5655446
YKL083W,23268.2458797
YKL082C,24210.4695652
YKL081W,24126.4850822
YKL080W,21619.2028184
YKL079W,4436.67567568
YKL078W,5832.23028169
YKL077W,13079.5666667
YKL076C,4262.52065217
YKL075C,5342.51712329
YKL074C,18363.9969231
YKL073W,17781.6291367
YKL072W,25012.337069
YKL071W,8591.29396552
YKL070W,4740.42045455
YKL069W,8543.31022727
YKL068W-A,39322.7943801
YKL068W,25616.1737212
YKL067W,25585.7298347
YKL066W,4461.50067568
YKL065W-A,10322.3122222
YKL065C,33180.2404332
YKL064W,32460.9837142
YKL063C,31272.6230951
YKL062W,29711.8370089
YKL061W,23131.8709459
YKL060C,39102.2316071
YKL059C,3967.82142857
YKL058W,7583.61
YKL057C,5970.26052632
YKL056C,14420.4368919
YKL055C,13977.5166667
YKL054C,25592.3041699
YKL053C-A,17477.15
YKL053W,22647.3327907
YKL052C,27785.5259919
YKL051W,26154.4939815
YKL050C,5630.49051724
YKL049C,15509.46
YKL048C,6194.31071429
YKL047W,6658.02765957
YKL046C,21085.0672234
YKL045W,19783.2913146
YKL044W,37803.0191327
YKL043W,29836.4306825
YKL042W,13583.3721818
YKL041W,13264.1524096
YKL040C,25811.6513265
YKL039W,26390.354644
YKL038W,10843.6889831
YKL037W,23790.3807042
YKL035W,35509.591394
YKL036C,10005.148125
YKL034W,18307.6207746
YKL033W-A,23862.0520073
YKL033W,6129.736
YKL032C,37620.9460018
YKL031W,36491.0859931
YKL030W,37501.0382043
YKL029C,25977.4787768
YKL028W,24425.2328838
YKL027W,4773.52734375
YKL026C,19012.3592756
YKL025C,8060.82107143
YKL024C,10856.8920502
YKL023C-A,14211.9190299
YKL023W,10493.0419149
YKL022C,6036.75759494
YKL021C,4003.34651163
YKL020C,22403.4096296
YKL019W,21812.9530481
YKL018C-A,6557.120625
YKL018W,5524.11101695
YKL017C,8870.96333333
YKL016C,29835.9946585
YKL015W,29928.6335632
YKL014C,3557.35769231
YKL013C,17705.3682505
YKL012W,18437.4705446
YKL011C,4571.41184211
YKL010C,22222.5748538
YKL009W,21768.3934659
YKL008C,29212.6126145
YKL007W,28781.7738108
YKL006C-A,10846.562069
YKL006W,29558.1831952
YKL005C,21178.3057208
YKL004W,19204.907027
YKL003C,15435.5888672
YKL002W,15445.6296358
YKL001C,31646.431834
YKR001C,27104.4362978
YKR002W,26725.2874494
YKR003W,25674.7675781
YKR004C,5343.28071429
YKR005C,4904.03409091
YKR006C,27379.6140297
YKR007W,26218.7522956
YKR008W,15042.1316418
YKR009C,19118.5703757
YKR010C,7940.5021978
YKR011C,28042.2710765
YKR013W,26928.3586353
YKR012C,7234.65338346
YKR014C,28568.3284351
YKR015C,18459.7023305
YKR016W,20618.9741667
YKR017C,19777.6826582
YKR018C,18418.7237037
YKR019C,21862.8461143
YKR020W,22374.4189933
YKR021W,7793.305
YKR022C,9449.05348837
YKR023W,8952.46541096
YKR024C,4928.24785714
YKR025W,4223.13046875
YKR026C,8859.15821918
YKR027W,16102.5561905
YKR028W,9664.44798387
YKR029C,6568.07
YKR030W,3680.4
YKR031C,24981.819126
YKR032W,10401.3542553
YKR034W,25084.7125285
YKR033C,14156.1375847
YKR035W-A,13923.9159502
YKR035C,5922.62361111
YKR036C,7857.86637931
YKR037C,4912.86486486
YKR038C,11257.9236842
YKR039W,28503.3132685
YKR041W,15773.0021505
YKR040C,34294.8215372
YKR042W,28663.769633
YKR043C,4919.8326087
YKR044W,7033.38289474
YKR045C,8062.90321101
YKR046C,16149.742474
YKR047W,16016.8262943
YKR048C,15419.9154098
YKR049C,18214.0508789
YKR050W,18200.4339731
YKR051W,7311.83448276
YKR052C,26799.4893603
YKR053C,23036.760109
YKR054C,19206.4595697
YKR055W,19832.213558
YKR056W,2539.84038462
YKR057W,4433.27181818
YKR058W,25078.660089
YKR059W,18451.0884726
YKR060W,3378.42391304
YKR061W,2834.50416667
YKR062W,27898.3391534
YKR063C,10107.9201613
YKR064W,10199.2006211
YKR065C,6512.85818182
YKR066C,28362.9575227
YKR067W,28111.0592231
YKR068C,16984.9978045
YKR069W,16251.8621813
YKR070W,13527.972973
YKR071C,5404.3975
YKR072C,26589.8404713
YKR073C,10637.5770642
YKR074W,12258.9569444
YKR075W-A,7990.50572519
YKR075C,23788.0759684
YKR076W,13518.0322476
YKR077W,15148.3532189
YKR078W,4183.47421875
YKR079C,19354.3332604
YKR080W,10096.8148515
YKR081C,6960.2475
YKR082W,5698.47407407
YKR083C,2690.5625
YKR084C,7745.71983471
YKR085C,7027.82908163
YKR086W,5948.8875
YKR087C,4729.70238095
YKR088C,10031.0146789
YKR089C,6064.30217391
YKR090W,6089.99104478
YKR091W,17316.2090551
YKR092C,25825.2272254
YKR093W,31199.4785142
YKR094C,22732.6414286
YKR095W,23120.759375
YKR095W-A,22540.2343694
YKR096W,25124.7702331
YKR097W,26840.8275641
YKR098C,10874.9988142
YKR099W,10911.8285156
YKR100C,23340.7873574
YKR101W,23363.1769962
YKR102W,3671.10789474
YKR103W,1219.775
YKR104W,1805.89090909
YKR105C,7277.87019231
YKR106W,610.4
YLL067W-A,0
YLL067C,0
YLL066W-B,0
YLL066W-A,5990.93709677
YLL066C,0
YLL065W,5012.6325
YLL064C,11876.2073529
YLL063C,4969.05234375
YLL062C,20767.8775641
YLL061W,21180.3019956
YLL060C,10910.828453
YLL059C,23894.1424779
YLL058W,23999.6098475
YLL057C,5259.52846154
YLL056C,14150.5936957
YLL055W,31753.5266806
YLL054C,6250.55472973
YLL053C,6378.20730337
YLL052C,26897.1093891
YLL051C,24596.5538102
YLL050C,21817.7733488
YLL049W,22463.5129851
YLL048C,19197.0374065
YLL047W,19440.273038
YLL046C,14140.34
YLL044W,12982.3017857
YLL045C,8702.40697674
YLL043W,26949.5273387
YLL042C,4071.34655172
YLL041C,23043.8759504
YLL040C,14691.8126645
YLL039C,25381.6346618
YLL038C,8888.742
YLL037W,16088.3076923
YLL036C,16393.3445783
YLL035W,16014.615283
YLL034C,20753.0380896
YLL033W,21017.709375
YLL032C,5032.405
YLL031C,19571.3438679
YLL030C,18808.9963023
YLL029W,18652.0741706
YLL028W,24457.8965561
YLL027W,24743.3448399
YLL026W,26497.2322549
YLL025W,12498.7063291
YLL024C,33091.8793425
YLL023C,14340.4216535
YLL022C,28449.2238095
YLL021W,28675.8319642
YLL020C,8046.61681034
YLL019W-A,5804.84264706
YLL019C,38230.4327359
YLL018C-A,25979.0528393
YLL018C,12697.2212389
YLL015W,20402.3051522
YLL014W,9886.1
YLL013C,16119.0672414
YLL012W,15521.6509975
YLL011W,16219.5356187
YLL010C,20134.802093
YLL009C,6670.40816327
YLL008W,6734.95817308
YLL007C,8367.42874016
YLL006W-A,3784.50849057
YLL006W,8176.66565217
YLL005C,5642.01388889
YLL004W,5625.82978723
YLL003W,9791.15285714
YLL002W,7706.48378378
YLL001W,23811.6388179
YLR001C,21043.2044882
YLR002C,15450.062069
YLR003C,7831.94070796
YLR004C,16560.3695231
YLR005W,16524.1946429
YLR006C,17130.7762611
YLR007W,17195.1767964
YLR008C,19927.6583916
YLR009W,19873.1938356
YLR010C,13265.7364407
YLR011W,22159.2075
YLR012C,16101.8193277
YLR013W,4405.49680851
YLR014C,5040.07075472
YLR015W,2754.07758621
YLR016C,8654.48305785
YLR017W,9946.9993007
YLR018C,9967.79298246
YLR019W,10421.764
YLR020C,6044.20263158
YLR021W,5698.79347826
YLR022C,3548.30581395
YLR023C,29733.809867
YLR024C,25308.154418
YLR025W,14042.5718623
YLR026C,27090.3207907
YLR027C,28416.8896388
YLR028C,16087.2502941
YLR029C,11129.9480769
YLR030W,11013.4452381
YLR031W,5633.914
YLR032W,19886.6972612
YLR033W,7953.25221239
YLR034C,27816.8198141
YLR035C,8827.82828571
YLR036C,17001.0987931
YLR037C,4100.59453125
YLR038C,23813.6155956
YLR039C,11170.11
YLR041W,5706.35483871
YLR040C,19727.4590372
YLR042C,25228.134057
YLR043C,20413.4471831
YLR044C,26603.6254144
YLR045C,8241.97067308
YLR046C,30790.1138728
YLR047C,22975.9497826
YLR048W,24687.4965031
YLR049C,18057.899564
YLR050C,6316.94797297
YLR051C,11694.2940945
YLR052W,10428.9918367
YLR053C,20070.902322
YLR054C,15343.7273438
YLR055C,22533.8123928
YLR056W,22659.7206554
YLR057W,8887.84693878
YLR058C,20996.3242021
YLR059C,7667.39891304
YLR060W,7791.39693878
YLR061W,13834.8837989
YLR062C,9841.53651316
YLR063W,8780.1347561
YLR064W,6981.74108911
YLR065C,15532.7608163
YLR066W,15041.1089286
YLR067C,6037.615
YLR068W,6482.74259259
YLR069C,13192.3240385
YLR070C,5167.81415094
YLR071C,22267.2085066
YLR072W,22740.2602941
YLR073C,14150.1894231
YLR074C,10916.3074627
YLR075W,11014.8828125
YLR076C,11117.3595745
YLR077W,8141.66727273
YLR078C,21914.5858362
YLR079W,21834.9179032
YLR080W,4934.20384615
YLR081W,26371.3919749
YLR082C,16797.7732955
YLR083C,16048.5487668
YLR084C,15248.4897163
YLR085C,6701.84579439
YLR086W,7203.22903226
YLR087C,13264.7833333
YLR088W,13342.9240099
YLR089C,30672.1010309
YLR090W,31504.6590661
YLR091W,13230.2146552
YLR092W,36135.3745062
YLR093C,26019.6297794
YLR094C,29542.3507513
