Gene_name,WT_control_value,WT_log2_ratio,WT_Input_control_value,WT_Input_log2_ratio,Taf1_Input_control_value,Taf1_Input_log2_ratio,Taf1_control_value,Taf1_log2_ratio,Taf2_control_value,Taf2_log2_ratio,Taf7_control_value,Taf7_log2_ratio,Taf11_control_value,Taf11_log2_ratio,Taf13_control_value,Taf13_log2_ratio,Med14_control_value,Med14_log2_ratio,WT_minus_SM_control_value,WT_minus_SM_log2_ratio,WT_SM_control_value,WT_SM_log2_ratio,Taf1_SM_control_value,Taf1_SM_log2_ratio
YLL055W,0.2580392415,0.1045323545,0.5805195226,-0.7519567156,0.5112178593,-0.0174774647,0.3892475205,-1.8184378672,0.2918405099,-0.717343718,0.2366122937,-1.3381384647,0.2891157149,-2.3517181944,0.1080379854,-0.5869940408,0.3228396698,-1.7701767248,0.174810374,-0.7653168401,0.2034557566,0.0354963916,0.2556771719,-0.5091981716
YGL187C,0.8038546933,0.4335352197,0.5927614264,-0.1745334411,0.7117827607,-0.0711858842,0.7386807328,-2.1541365188,1.11973223,-1.0769482571,0.6513616727,-2.6733220652,0.5986154623,-2.0740762042,0.4052511352,-2.663019205,1.7109693796,-3.4378496168,0.6655853939,-0.1154615269,1.3127393499,-0.2705658696,0.647230616,-0.4033160152
YDR284C,0.7855881614,-0.3881254383,0.5071525265,-0.2948099858,1.0247094822,-0.2502794481,0.8212595885,-2.1979523526,0.7428935184,-0.8706429584,0.4214558968,-1.7781796984,0.7087484266,-2.0154685497,0.3252008573,-2.089046491,1.0211756267,-3.2256422087,0.8199467123,-1.6745958979,0.8708953494,-0.0003604849,0.7124226327,-1.7609663727
YER013W,0.4797239523,0.4948396452,0.2918638728,-0.1851352795,0.7315834524,-0.0198451672,0.4139264721,-1.3431847809,0.6942391619,-0.9296624374,0.4440497724,-2.0317187168,0.5320357655,-1.2698972326,0.2364010243,-1.5254607829,0.889474675,-2.9634811446,0.4798116466,-0.5008390494,0.6440203963,-0.4462808535,0.4051762954,-1.0048530586
YKL210W,2.0930307737,0.1400095723,0.4933065111,-0.2645588751,0.7537526479,-0.0472810752,2.6101259297,-1.8528186657,2.5388781256,-0.6916025153,1.877808089,-1.7284776193,2.0806215088,-1.0759249837,1.4279165317,-1.5342766359,3.2201516904,-3.0177918731,3.3035372089,-0.2578987514,2.6041606735,-0.0684323269,2.5349194893,-1.0978060233
YMR244C-A,0.8104453541,-0.2277622509,0.7772342532,-0.1294539425,0.5424821094,0.1251017593,0.5379083281,-1.4940221827,0.750327469,-1.888651736,0.5213667498,-0.9089326168,0.6613012044,-2.486108658,0.3056909797,-2.1481516949,0.5946595326,-1.9152068858,0.5878516742,0.712267611,0.3496435124,0.4673038624,0.4740400952,-0.7154076791
YDR462W,1.0163219691,0.0871605954,0.6688300841,-0.6001271008,0.6790974083,0.4660189225,0.9217977704,-1.2345792764,0.9361285462,-0.4074575634,0.8366757424,-2.1755656863,1.0262707138,-2.0106605933,0.4957900102,-2.0864130321,2.0890133918,-3.1838534183,0.7097023401,-0.0233894259,1.1327522541,-0.9692544736,0.5481984209,-0.7163920912
YGL198W,1.6518176729,0.0688083004,0.5285969649,-0.443069377,0.5379345821,0.3881978712,1.3736606368,-1.9966048,1.6175224925,-1.0253617053,1.3008201769,-2.438068418,1.5257388969,-2.2415553424,0.7409949347,-1.7618524221,2.729488327,-3.226338066,1.1074044226,0.3004511519,1.0939730888,-0.413469309,0.6973623723,-0.9174654663
YDR324C,1.1362308856,0.6884934816,0.5247133265,-0.5106732581,0.8228182186,0.2265186273,1.1140166965,-2.2180997116,1.4111123159,-1.2992223558,0.8162849854,-2.6255220765,1.2972825547,-3.0567676185,0.5467656794,-2.3310871028,2.0734226237,-3.5534952546,0.7137590793,-1.1439083338,0.952051795,-0.8770976295,0.3209810205,-1.0989952794
YPL090C,5.7475389347,0.4117220521,0.2846875844,0.4158361562,0.5870099807,-0.0927079071,7.6633343497,-2.9294197657,11.4246386358,-2.095150345,5.1532725484,-3.0586882529,7.5330490741,-2.668823435,3.8509998581,-3.3036319142,10.2639319833,-3.704974946,5.0516633076,-1.07667009,6.5702565673,0.1697984167,1.9292240546,-1.7729747139
YDL211C,0.3967837219,0.2398513681,0.561439038,-0.5780837086,0.8048175898,-0.0160038657,0.3856099782,-1.3080492542,0.5373209252,-1.0628734095,0.2293453793,-0.5769248536,0.3316632792,-1.4433456243,0.2159129355,-1.8163295534,0.7103386061,-3.4698389042,0.3548923844,-0.5737811161,0.311078953,-0.8948409514,0.237976842,-0.3191811084
YPL132W,0.4202382609,0.0503285362,0.4601267304,-0.4319555274,0.7557421911,0.0222795403,0.6364827345,-2.1083527798,0.5168199389,-1.5741226336,0.3903118902,-1.9409823611,0.5116574964,-2.0274526321,0.3798176457,-2.2361870606,0.8466088166,-3.1156769754,0.2700003344,-1.202732963,0.5207051219,-0.1962763424,0.2854310141,-0.6017208641
YLR249W,3.3197368786,1.4307279973,0.6605562456,-0.6464072886,0.8631775233,0.0328951056,4.3290975729,-0.8776661237,14.5654546626,-1.2501426082,3.2325084067,-1.9171224211,3.4413984788,-1.2592362952,2.3678143973,-2.2243257411,13.9817618341,-5.2389066723,4.0755920123,-1.157252358,12.301396274,-1.0721851816,1.8438149308,-0.9350824131
YJR011C,0.3391313541,0.0952598281,0.3984106497,-0.1811117471,0.7595317972,0.0469362372,0.3249313551,-1.1615853653,0.4768557999,-0.8667634938,0.3187722872,-2.0230296913,0.4246791318,-1.5581763149,0.2417268405,-1.5893110297,0.5000678906,-2.9121669301,0.4649874489,-0.4725683983,0.5486606645,-0.5011932622,0.2575873289,0.0378682311
YLR328W,0.4161796118,0.4267495484,0.3120419074,0.1041197083,0.7614266002,-0.1921551741,0.7457243842,-3.0675800659,0.7803099456,-1.8533248506,0.2487747702,-1.5824580757,0.4181503763,-2.2577773421,0.3562318883,-3.2267525341,0.9292153172,-4.1995215332,0.3849579716,-1.8770126477,0.5720833168,0.1741919369,0.2866960392,-0.5351618768
YLR389C,0.6509083904,0.3687635526,0.519732138,-0.0760414965,0.7870064412,0.352660469,0.697810248,-1.5430868958,1.0279686592,-1.5685400588,0.2707235341,-1.0952638064,0.5392327372,-1.3805015327,0.3272116246,-1.8095618116,1.2040228598,-2.9482995097,0.8437374133,-0.8182472163,1.1833739306,0.0146586873,0.4612669654,-0.7507739542
YOR107W,0.2701480751,0.3727720126,0.4809801804,-0.2915664411,0.7011718637,0.2214796966,0.9129749659,-1.6957046675,0.8783556567,-1.240360471,0.3085873693,-0.7152034545,0.2630197585,-0.4040603387,0.4143267607,-1.744539197,0.7525046247,-3.5981973279,0.5281824902,-0.9040951356,1.1619885044,-0.0511024288,0.6812875433,-0.3702703229
YDL091C,0.549133337,0.0746470244,0.7373003186,-0.0272877401,0.7558369313,-0.0158104657,0.3802730706,-0.801475777,0.4730917325,-0.4059513752,0.5317193033,-1.3795810304,0.6205571665,-1.8821295653,0.1811864402,-1.1408743818,0.9831727039,-2.5779377676,0.5821526045,1.078019685,0.6610143609,-0.8016603857,0.3726415964,-0.5167067769
YGR061C,1.0862298924,0.4942197053,0.5535029072,-0.7916656067,0.9823606343,0.0053901635,1.2591298998,-2.2871376107,2.0547944869,-2.0415126272,0.7970208936,-2.2666157998,1.067830058,-2.0306295606,0.6931169342,-2.4678106231,2.3056161357,-3.2846690065,2.4630561522,-1.1534007397,2.8548298031,0.2252110156,0.8409021419,-1.4852299353
YPR091C,1.8329508421,0.2178174524,0.6126861803,-0.3725459657,0.8577773346,0.0301507616,1.0906565795,-1.322127444,1.2054849157,0.0606530084,1.5194258374,-1.7399692198,1.6559717616,-1.598470246,0.7383863717,-1.5261975632,3.3419303806,-2.4166650241,0.9821287111,0.7133121543,1.4767211511,-1.1231679621,0.9231744138,-1.0397116464
