Gene_name,WT_control_value,WT_log2_ratio,WT_Input_control_value,WT_Input_log2_ratio,Taf1_Input_control_value,Taf1_Input_log2_ratio,Taf1_control_value,Taf1_log2_ratio,Taf2_control_value,Taf2_log2_ratio,Taf7_control_value,Taf7_log2_ratio,Taf11_control_value,Taf11_log2_ratio,Taf13_control_value,Taf13_log2_ratio,Med14_control_value,Med14_log2_ratio,WT_minus_SM_control_value,WT_minus_SM_log2_ratio,WT_SM_control_value,WT_SM_log2_ratio,Taf1_SM_control_value,Taf1_SM_log2_ratio
YDL065C,0.3626389676,0.6428848316,0.5399101726,-0.4413071878,0.7190777524,0.1277429185,0.5125312759,-1.5618460148,0.9562357527,-1.179503739,0.3780906738,-1.5064490864,0.5627371317,-2.3478241892,0.3087886483,-2.4888083225,1.104972228,-3.1558145786,0.3491367313,-0.803470702,0.5421109825,-1.0461104064,0.190790181,-0.2118930828
YMR195W,6.7240543789,-0.2798719944,0.6430798725,-0.5995358247,1.0344677178,0.037409223,4.6743015888,-0.0169536661,3.9713927511,0.0373762136,4.3332579472,-0.7564179839,6.0361020204,-0.8213340917,2.4499841326,-0.8005796801,9.5964725563,-4.7611954206,7.9180705258,0.2251700579,18.2358577577,-0.8426931555,12.5360981839,-0.3640054687
YNL325C,0.7159183288,-0.2074739157,0.5085033573,-0.55297089,0.8103125186,-0.2057662623,0.6051335379,-1.154896059,0.6088999969,-0.9301717867,0.4610930301,-1.2076384948,0.7385279694,-1.9954647066,0.358568726,-1.1539707683,0.6473980428,-2.0971320405,0.9171437913,0.5580136889,0.6724783469,-0.1460766237,0.4797493811,-0.476856372
YFL013C,0.7216476775,0.1761974777,0.4293953304,-0.4643258607,0.6691496924,-0.0230811734,0.6399963214,-1.6914045,0.7433447434,-0.0674768674,0.4488084544,-1.5373416415,0.5485961397,-1.3378752642,0.3150926756,-1.2867989933,1.1554912027,-2.8949894348,0.2911829822,-0.0686545073,1.0740506853,-1.0271292057,0.4098898283,-0.4537518194
YER113C,0.7868873327,0.4383749348,0.5612701841,-0.6521353624,0.769384773,0.2052545708,0.6487631419,-1.6498122935,0.9035221952,-1.2282466986,0.6938976829,-2.1393281402,0.9939524329,-2.9954464992,0.3824262087,-2.0638581957,1.3877467916,-2.9975392398,0.6860643177,0.1792494358,0.5198002808,-0.4271139665,0.2467790807,-0.5420049991
YPR122W,0.3360598916,0.4626252981,0.3802588612,-0.2350283705,0.6653600863,-0.0776110526,0.6480583626,-2.5520691054,0.8894795578,-2.2805202027,0.2470322276,-1.7155528394,0.2785026755,-1.9178160049,0.3879150601,-2.7910764251,0.5557101765,-2.6722005839,0.4450360222,-0.6799596212,0.580464427,0.1693117351,0.2698045361,-0.3047461625
YKL143W,0.9243428646,0.4096312102,0.4613087073,-0.5779093641,0.751289404,-0.2268629438,0.8985404707,-1.725987597,1.5104405993,-1.328877215,0.6095178879,-2.2362895105,1.0337788178,-2.1415996975,0.5370922582,-2.1482878343,2.0214717769,-3.0104618541,1.0802809993,-0.6706943628,0.8529646779,0.1628825276,0.5121506998,-1.3224778589
YNL310C,0.4433235365,0.4067368581,0.5171993303,-0.3482194942,0.4683005705,0.3459855401,0.5736063123,-1.499086587,0.6426662819,-0.8239671359,0.3940966006,-0.9443995128,0.4786665011,-1.9402095902,0.4225328652,-2.6866612213,0.8188590528,-2.3828495991,1.2099338194,0.1251642396,1.5220875183,0.3082817176,0.5682380031,-0.9983069321
YPL236C,0.1350645627,1.0156079749,0.4312527227,-0.084482756,0.7024982258,-0.0149742706,0.4023455887,-1.064248238,0.380257462,-0.8189981853,0.1793240116,-0.4306849073,0.2337489556,-0.9427863886,0.1815125106,-1.3383541261,0.4908659936,-2.7370148808,0.1832331033,-0.4755701319,0.2808027246,0.3975047192,0.2827706916,-0.5883775595
YPL237W,3.1454373784,0.3540861807,0.5990090187,-0.83109367,0.8572088937,0.117978328,2.1507356619,-1.7320215859,3.9162282972,-1.2285297587,2.1643658394,-2.6761196312,3.5184014275,-2.403984976,1.2621640894,-2.0687839504,5.6886945864,-3.2881357664,1.7814233993,-0.1978213949,2.8517151684,-0.6595164121,1.4446928578,-1.6477111595
YFR016C,0.2631786968,-0.1473088839,0.3583922882,-0.248100689,0.6541807484,0.1002725799,0.4092167003,-1.7984303678,0.385514193,-1.2430188093,0.1831322507,-0.6415718482,0.2019118158,-2.0638589436,0.2739534629,-2.5238028688,0.4679098429,-3.9363243063,0.2596861542,-0.2884014637,0.4204660003,-0.55668969,0.1814462382,-0.8124746254
YGR174C,0.3733037988,0.5763897685,0.4009434574,-0.4609588407,0.6588230158,0.2521556444,0.5537051357,-1.6008430651,0.5741118012,-1.5933469914,0.2668900816,-1.7366550991,0.4603313293,-2.2447659135,0.4258479141,-2.6612293548,0.8143935263,-3.3147011399,0.4806102765,0.4135617526,0.555590431,0.132438325,0.387700031,-1.1534174774
YJL140W,0.8920757886,0.7006531194,0.4599578765,-0.2429432131,0.7614266002,-0.1177111168,1.2775322382,-2.9113624071,2.7506811673,-2.1504384585,0.56919956,-2.2911123743,0.7475409107,-1.5355763906,0.6540428339,-2.4785413265,2.5293822379,-3.7135201446,1.9393475929,-1.0396260599,1.8522196734,-0.2856517183,0.7797868786,-1.4718014182
YGL139W,0.2868568993,0.9953488848,0.5735965149,-0.2414961525,0.7422890896,0.3299178703,0.4680667791,-1.6245404113,0.7559046134,-0.9620106316,0.2981151068,-0.8281201565,0.2883207967,-1.2785229613,0.3222118788,-2.4922412375,0.9176985066,-3.203702434,0.4640248319,-1.0348549974,0.3098225077,-0.2226529086,0.2440694595,-0.5082165346
YKL085W,0.7276980979,-0.1188841408,0.3206534536,-0.4335393751,0.6884766833,-0.0326263906,0.9224431358,-0.8364871197,1.006704476,-0.6365663796,0.5930972998,-1.3148130113,0.645368395,-0.632611621,0.4616069656,-1.5387180157,0.8506684892,-2.5563748888,0.6543467358,-0.2299616593,0.9589769362,-0.4461952725,0.7799706065,-0.2367626191
YKR076W,0.4002661427,-0.2624253727,0.6653685802,-0.355299039,0.9450330145,-0.1928267243,0.4396405989,-1.3056350179,0.2861426647,-0.3797787825,0.2779451294,-0.7103323121,0.377283739,-1.7723380088,0.2432485022,-1.4252555515,0.6533715972,-2.4753952446,0.8541236378,0.7205778187,0.6276170287,0.0607639349,0.360356495,-0.1087969259
YOR106W,0.3782301944,1.0362135756,0.4965147342,-0.6809586103,0.8058597314,-0.3344273867,0.4377196746,-1.8934685619,0.6605195121,-1.1858071172,0.379631075,-2.1105126757,0.6425950477,-3.1244182768,0.2981370159,-1.893597214,1.1573192722,-3.364987671,0.6678360056,0.6186115577,0.8638397859,-0.8556974341,0.4252320254,-0.944219528
YPL138C,0.909100788,-0.3303967961,0.5262330111,-0.7781080975,0.6821290932,0.3283909956,0.9173708937,-2.2066204036,1.0536490271,-1.9939386344,0.7707433782,-2.2188606447,0.7886760507,-2.3825097144,0.4736172245,-2.1408258276,0.8912388499,-2.611031711,0.843773969,0.1115595974,0.5005001454,-0.1863382343,0.5466806731,-1.2749102479
YMR013C,0.5877014464,0.4981390912,0.4375847419,-0.6059909921,0.69264525,0.4789807796,1.1027868916,-2.6384754311,1.8335140442,-2.5023968566,0.3931474615,-1.7677381345,0.5083669332,-1.6773202348,0.5822530056,-2.7739929075,1.2836105844,-3.6195326752,0.9720855817,-1.3076734266,0.9486657343,-0.0749259866,0.3267552741,-1.3640413236
YER057C,0.9343738566,0.4415996113,0.6494118918,-0.6979833957,0.5952523739,0.3674580626,0.7403101518,-2.0230735146,1.1219415634,-1.6049600945,0.6162718414,-1.7940948102,1.0615515308,-2.9772011609,0.4568789451,-3.1640465972,1.5360159256,-3.4780787805,1.4051289386,-0.0706368669,1.5382866473,-0.585439164,0.6445487583,-1.2490084902
YMR033W,0.5267600129,0.7158024947,0.4103148458,-0.286807476,0.8106914792,0.0321743075,0.6005163163,-1.3017305811,0.9496815536,-0.5924828469,0.5013450641,-1.7146342498,0.4857830396,-0.9660317423,0.2927568547,-1.1195876079,1.1367548998,-2.7539519614,0.5936559729,-0.750557073,0.8557954455,-0.5344745403,0.3830797993,-0.6149976657
YOR385W,0.625813114,-0.0029620232,0.5340847149,-0.4378557168,0.8975681984,-0.3756342757,0.6816298204,-1.7209330039,0.9189500289,-1.7399733783,0.5000135964,-2.319697232,0.4562320823,-2.0306072898,0.4147615212,-1.967166252,0.815284922,-2.9485321071,1.390693824,-0.467713298,0.8035452147,-0.0924999722,0.54891462,-1.146951518
YGL097W,0.5746168197,0.8125354403,0.5348445572,-0.2610431741,0.5858730989,0.2125095048,0.6779469216,-1.6300511611,0.997998983,-0.8807395192,0.5174317385,-1.8143191362,0.5327587266,-1.5464697383,0.4394341799,-2.5394124443,1.3840080633,-2.9075605347,0.6027982881,-0.014145396,0.8084282554,-0.7142010214,0.2618413354,-0.6788063525
YLR192C,1.5823006294,-0.1082176125,0.4523594535,-0.4619837652,0.7146249652,0.3419261225,1.6548043941,-2.4360571141,2.1503403049,-1.9146133375,1.0072530265,-2.4635570748,1.5868166531,-2.5437754772,0.6338264704,-2.4671364455,1.8837080295,-2.9413095909,1.5102525585,-0.2066758489,1.2314897704,-0.2837940785,0.7433226883,-1.3094329695
YDL193W,0.2271642154,0.8152018534,0.2778490036,-0.4312705289,0.5646513049,-0.3049876242,0.5015848326,-2.1794362531,0.6038649264,-2.1263072425,0.254273875,-2.0331056126,0.196291774,-1.2822237618,0.3038432475,-3.1237658198,0.5636040586,-3.5861275827,0.4768197768,-0.7673757676,0.3255827478,0.2342769988,0.2219866899,-0.7351788358
YJL026W,0.6727972359,0.6944123587,0.4282133535,-0.2999022296,0.7258043032,0.2044985842,1.075952025,-2.023306654,1.7603486586,-2.1087697899,0.5785239114,-1.6808333204,0.7426051674,-2.3674675303,0.6603468612,-3.3236107753,1.3993782935,-3.659397838,1.1527711093,-0.5102843503,0.6971065263,0.3314391112,0.4982377797,-1.1706914921
YDL117W,2.2376967873,-0.5528569681,0.3880261381,-0.1728999079,0.7094142569,-0.1428074707,1.7000866152,-1.1558578578,1.5554767058,-1.0925603455,1.2988370225,-1.9381945013,2.6018431807,-2.4338927215,0.8487611948,-1.6422234574,2.9418123812,-3.0342277163,0.822791524,0.2431444814,1.2110857128,-0.4644590386,0.8155290819,-1.3140582441
YOL026C,0.8505852034,0.5651800662,0.8135378301,-0.7893940349,0.6806132507,0.0855120383,0.6659543886,-1.7692179995,0.7936780316,-0.9443592231,0.7902492245,-1.8900726223,0.9133344188,-2.322289465,0.3552536772,-1.6984493091,1.6383572738,-3.4199978729,1.0202716901,-0.0253470207,1.2077764097,-0.6462191053,0.4249512411,-0.8526811339
YOR353C,0.5199525037,0.4593508277,0.7335011071,-0.4385535846,0.9592440373,0.1070427541,0.4753276687,-0.4806217541,0.6400883422,-0.2544706424,0.4108527309,-0.733546082,0.5701258798,-1.6575124684,0.3322113704,-1.7170236091,1.1945706435,-3.0043781422,0.6415872795,0.7713929759,0.8136613584,-0.4212696218,0.4061229049,-0.70411722
YMR168C,0.6579797273,0.3433081867,0.607536138,-0.5093663348,0.5979998383,0.2911241333,0.4040938672,-1.0392586468,0.6700457004,-0.8397952255,0.5647841378,-2.0073808528,0.4920524244,-1.7392990384,0.2331403205,-1.5195224898,1.0981240768,-3.1937682103,0.4231617611,1.1217643409,0.5181383718,-0.3208174185,0.3505360876,-1.2995945912
YDL188C,1.5944860168,0.2053568906,0.8408077262,-0.2662715239,1.1337553969,-0.1564592057,1.3048292703,-1.8702787666,1.3519999518,-0.8632152097,1.0581413721,-1.5930361651,1.3431249202,-1.966820489,0.5968174825,-1.7227358069,2.2287432356,-2.5636003061,0.6992046682,0.1104016227,1.2284164295,-0.64530204,0.6515406678,-0.7084562674
YKL022C,0.8757411384,0.2751943431,0.5227715073,-0.8035692925,0.7296886494,0.139556635,0.5248488535,-0.9623240378,0.8764631387,-0.5320912526,0.6764702484,-1.6714970117,0.7852519026,-1.6892810405,0.3162339219,-1.0280186743,1.2826191822,-2.4327299079,0.8039089356,0.4765154842,0.9697499426,-0.7194083791,0.4914832088,-0.7378764446
YKR059W,1.4919270225,0.7354836365,0.3095935267,0.2370177164,0.6546544491,-0.4275633469,1.7801350675,-2.4734979339,3.3554184221,-1.9764358779,1.2668000092,-2.6692606686,1.575101723,-2.0463890593,1.1019004985,-2.6910875281,3.812384841,-3.7762251941,1.7624884614,-1.6864650704,2.0397684266,-0.2797740986,0.6460311023,-1.1596202181
YLR323C,0.3524878084,-0.2689430979,0.512133715,-0.535330454,0.6958664152,0.2549891437,0.4481986854,-1.8945592515,0.4874366585,-1.4137926469,0.2828535704,-1.6105554896,0.3255220542,-2.6142742952,0.2498242549,-1.8077213631,0.3629047759,-2.3387480458,0.3458632902,-0.339990702,0.3242031641,-0.7314671429,0.1956920258,-0.7903368451
YER025W,1.5490243766,0.7081070258,0.5784932764,-0.6851944967,0.5991367202,0.2918426856,1.3158219086,-2.0673299447,2.8087843113,-1.4993085806,1.2060628324,-2.3710425122,1.6758137596,-2.3081097459,0.9279962967,-2.5863997212,4.2786183325,-3.4279912458,1.6986563781,-0.504538409,1.7653584481,-0.6862357727,0.7233117764,-1.2982701519
YDR314C,0.7040111684,-0.2150862888,0.6048344764,-0.7116980696,0.6240533801,0.5078344116,0.5078312504,-1.4067431163,0.6539241651,-0.6971161507,0.5859910651,-1.8249313916,0.8041625392,-2.1676868446,0.1914033121,-0.9445242066,0.9279690703,-2.3868727084,0.4220442231,0.5595188683,0.5326301329,-0.6472870814,0.3568249291,-0.7269837588
YJL166W,0.4588135595,0.3983133395,0.5569644111,-0.6061686676,0.8239551004,0.0434195481,0.7222781938,-1.4275848123,0.8423436841,-1.1782783313,0.3926961215,-1.1327582491,0.4625950099,-1.3970806273,0.380089371,-1.8386694335,0.9901751904,-3.2035895457,0.7277404868,-0.7186957805,0.7921617792,0.2230621988,0.4266230624,-0.6343656683
YDR524C-B,18.3273248041,0.5060845005,0.6565881802,-0.1135686183,0.6264218839,0.3244505951,12.6105770297,0.2886755111,30.6438744803,-0.4482881684,17.2985469218,-1.1378106916,19.8048819347,-0.9958256963,6.5714593696,-0.8631974003,34.0884385788,-4.9550179966,13.8963077781,-0.5501324856,26.0103785726,-1.0233720563,10.1953672015,-0.5930033847
YGR058W,0.40282696,0.8251257232,0.5097697611,-0.5779239952,0.7089405561,0.2751640068,0.585035869,-1.5980092717,0.702657537,-1.1355433654,0.393987705,-1.6161678839,0.6381124405,-2.3638860819,0.2566717328,-1.7781078354,1.2086334648,-3.2705985237,0.784083765,0.0250702911,0.7129990323,-0.3535989132,0.5571811759,-1.2744465206
YPL001W,1.7373327598,-0.5202517433,0.7920089647,-0.1935943152,1.3448364552,0.0995593291,1.2095643246,-1.4682959687,1.5674702457,-0.9542285395,1.0740860588,-1.4803827309,1.5178337243,-2.8981271154,0.6298592808,-1.1117605416,2.0674775361,-2.5850505058,0.6863974363,-0.1685226391,1.0100657343,-0.15816297,0.7228479896,-0.7194784742
YBR218C,1.1734960073,0.4041696478,0.3052033267,0.0513042782,0.6130635225,-0.1113240366,1.241839435,-0.5666250904,1.7585689322,-0.6701874285,0.8138157143,-1.2228942093,1.1983341378,-0.6181674111,0.7502335955,-1.3373449912,1.9882331886,-3.9238434683,2.2494511527,-0.6355769995,6.0541230427,-0.2820419398,3.1309283363,-1.0070062623
YOL124C,1.3055482561,0.4892669967,0.4370781804,0.1869798271,0.8695251135,-0.2982718415,2.0827944613,-2.9023551629,2.8282258939,-1.8015993741,0.7948301094,-2.6996664635,1.3644579794,-2.0936641568,0.9060408912,-2.6353772869,2.5800948951,-3.0137992474,1.322264912,-1.1466737156,2.2301729193,-0.0941696815,0.6719847151,-1.4729964972
YAL011W,0.8960290437,0.0650198636,0.91121978,-0.4874201004,1.1730725599,-0.0779086082,0.808988684,-1.2038411311,0.8875293763,-0.681098301,0.7752882363,-0.8293562107,0.9902957322,-2.0702625242,0.3965559251,-1.6253857903,1.3492868061,-2.4181592149,0.7460647107,0.3556318088,0.9100471204,-0.9897905211,0.5324507615,-0.6206519085
YBR151W,0.6575058525,-0.1269636204,0.3955401343,-0.4584276049,0.4941646319,0.3576432092,0.7743152367,-2.0445680931,0.9422680944,-1.7882769515,0.4334363914,-2.1873091284,0.4734354477,-1.9061844834,0.3520473185,-2.6093884742,0.871857036,-3.6156086181,0.7770972169,-1.2844380769,0.6733017157,-0.0803354651,0.3025251124,-0.2017676265
YNR010W,0.7669967275,0.3795734111,0.5818703534,-0.4409562797,0.8626090824,-0.1036716893,0.4578775641,-0.5968572965,0.8465815668,-0.2686970623,0.5977210036,-1.0503741365,0.7394268847,-1.8519708893,0.2536284093,-1.0109514529,1.479724712,-3.0035239921,1.2009105427,0.3656098506,0.6122679594,-0.6021149207,0.5700722889,-0.7137821817
YDR027C,0.6098950806,0.5504668806,0.5501258303,-0.5131397334,0.7692900328,0.4668560942,0.959083926,-1.7803159191,1.0299489089,-1.057192359,0.4647523793,-1.5919712195,0.664845104,-1.1129954387,0.5585585581,-1.8743091951,1.320165339,-2.9910011567,0.7401405853,0.3947091548,0.8735709002,-0.3807203727,0.5456666614,-0.4413403737
YJL071W,0.4263292543,-0.3833232232,0.6221419956,-0.7924750207,0.6438540718,0.0590195947,0.3351563286,-0.933271045,0.3053172998,-0.4919623128,0.402572068,-1.6141686439,0.3259015722,-1.6977863402,0.2479765227,-1.6252934607,0.5543360621,-2.14838322,0.3402470294,0.1962509752,1.22255778,-0.2468333107,0.3378964283,-0.2674883194
YGR230W,0.4052827642,-1.2061343985,0.5047041457,-0.7626769054,0.5781991466,0.3344163297,0.3719954265,-1.5583612735,0.6997618735,-2.2054303032,0.1543603046,-0.4594006261,0.3107742812,-1.685481448,0.2600954718,-2.1844568304,0.350306522,-2.9584943509,1.467134975,-1.3822437662,0.4518600811,0.9942127854,0.3083721292,-0.3537036551
YOR194C,1.0012739956,0.120890554,0.7340076686,-0.820080368,0.859861618,0.2412871873,1.1070485862,-1.7496514372,1.3946460561,-0.9817224564,0.8861648053,-1.8517290999,1.0789049696,-1.8869554495,0.54301587,-1.6841298843,1.3699252201,-2.1235087065,0.836976451,-0.2478980995,1.0844602135,-0.493260312,0.3883603785,-0.2292907404
YOL014W,0.4298552539,0.0633522192,0.5810260841,-0.285829822,0.7000349819,0.1465150583,0.3209096513,-0.6814715758,1.0318201851,-2.2011271895,0.2886631677,-0.8493830349,0.539170443,-2.0173264001,0.3393305737,-2.1240475015,0.5659291316,-1.9617840131,0.5858288298,-1.1952497397,0.3594252078,-0.5053520046,0.2731595743,-0.7499393426
YHR171W,0.20888629,0.7528710408,0.6580234379,-0.6297108939,0.8110704398,0.2879210605,0.2165762404,-0.8408184249,0.3221180118,-0.1998988762,0.2471371021,-1.0526263355,0.276930447,-1.5657595888,0.0992884302,-1.4642109035,0.4946898378,-3.1684680842,0.5137491769,-0.0385895813,0.5269581585,-0.5180701787,0.2434641084,-0.179246028
YER011W,0.1780112709,0.4420861378,0.4339543843,-0.4812507131,0.6315378521,0.1914717731,0.3382431791,-1.7468397889,0.3605025112,-0.9282440171,0.2148080176,-1.0799880948,0.1485637986,-1.4485965412,0.1681436251,-1.6825800534,0.374479332,-2.7152655066,0.1225847134,-2.4963626234,0.219460147,-1.0045457267,0.1610464653,-0.2582352895
YLR350W,0.8718432434,0.9456867122,0.5091787727,-0.6218558028,0.6306851907,-0.009995868,1.0587081065,-1.2833528634,1.5902418836,-0.9205187348,0.8339606394,-1.5818513307,1.0131491228,-1.4746683587,0.6806719148,-2.4678732054,2.5560185474,-3.6714643498,1.2380149665,-0.0317744781,0.9517868205,-0.3740167642,0.4800977361,-0.8511608436
YMR076C,0.5374923178,-0.3739354675,0.4020410074,0.1367854969,0.8279341868,0.020897037,0.4776552843,-1.3684679559,0.5057016335,-1.1440372797,0.3319733446,-2.115471768,0.5631554475,-2.4811045154,0.1914033121,-1.3914876462,0.6487984189,-2.7922546918,0.1434552557,-1.5968915647,0.1942253665,-0.197270278,0.2827042865,-0.4866630655
YNR034W-A,0.2513439624,0.0791037273,0.2662825152,0.3285119449,0.6019789247,-0.4538711153,0.1817692715,-1.1680281984,0.2462375322,-0.8276327162,0.1920594926,-0.8861746776,0.3042706152,-2.1015960116,0.117222301,-1.5350916005,0.318008527,-2.8411979375,0.4936123628,-0.4425640015,0.6355121247,-0.1877203797,0.2965814143,-0.8324626727
YOL114C,0.2746165189,0.1637015438,0.5017492034,-0.1187182547,0.7301623501,0.1267127712,0.4573235383,-1.5338573166,0.4809772877,-1.6359650422,0.3275475436,-2.2672382842,0.3332453737,-2.0989600713,0.2783010679,-2.477077975,0.5708809995,-2.7639940475,0.2628268765,-0.8591789629,0.2086894444,0.4239507774,0.2167237609,-0.2718151242
YPL070W,0.1933200733,0.7483842562,0.4968524419,-0.602135783,0.8135336837,0.0805591725,0.3656313173,-1.4765559108,0.3691878356,-1.0573604199,0.2044764926,-0.7211609917,0.3605566778,-1.9147426528,0.2316730038,-1.5137515392,0.534988555,-2.1437274595,0.2490066626,0.260085891,0.5221539844,0.2428396586,0.185735765,0.2473590708
YLR040C,0.3417964295,1.5261286225,0.6142058649,-0.1848067893,0.7430470108,-0.0511657185,0.7471075802,-1.8403925684,2.4660310634,-3.0602295715,0.3025908999,-1.3787686034,0.4099457232,-1.918212429,0.482638505,-2.8703025694,1.3690437899,-4.7475842708,1.2591007102,-1.0416860645,1.1258623994,-0.0991705098,0.4012635605,-0.8494644664
YDR373W,0.2637704809,0.7071115457,0.5638029918,-0.5578610966,0.6091791763,0.2218984204,0.5436357888,-2.0083986246,0.7826982305,-2.0881874309,0.2533018591,-0.960068686,0.2464013282,-1.2589146411,0.303354142,-2.398150942,0.6501961779,-2.849919906,0.6088342482,-0.656296254,0.7722729255,-0.290804994,0.1988035741,-0.2635392952
YLR024C,0.3506427172,-0.1300026753,0.378317042,-0.9184453596,0.6737919598,0.0822244862,0.5036874809,-1.8391167538,0.4835017066,-1.253908411,0.2629523529,-1.9847734946,0.4655439834,-2.4385455313,0.2440093331,-1.8538059499,0.4492118693,-2.5345364898,0.2882566051,-0.6616040871,0.5359392586,-0.3296627294,0.308757727,-0.705919433
YOR231W,4.7919366889,-0.6854811544,0.8395413224,-0.5151351131,0.866114468,0.1745495698,2.1659777637,-1.7252417545,2.2017757556,-0.5817472345,3.2061803036,-2.5097120349,4.8802270794,-2.9978793782,1.1087479764,-2.2426170446,2.9408152419,-1.9170659834,1.7195511002,0.9871773437,2.0022795933,-0.8018468381,1.5067907561,-0.6557532974
YMR290C,1.740675662,0.7276527274,0.5244600457,-0.5533910569,0.702592966,0.2032762112,1.7249019978,-2.0646228789,2.9052103155,-1.6229106931,1.5619769531,-2.6374030149,1.9202825997,-2.0435748616,0.8232190151,-1.8805475335,3.0062783773,-3.1459909645,1.5251679928,-1.0986869492,2.2720422091,-0.821986567,0.9939194285,-1.9120971372
YJL111W,1.6829463248,0.4850251926,0.7486135263,-0.2383396484,0.9262744644,0.0091655112,1.5225499266,-1.9501683316,2.298708175,-1.1575017747,1.2968388699,-2.2710550356,1.3867839029,-1.5581019959,0.8055025246,-2.5148562911,3.8901189432,-3.4073342309,1.1653545358,-0.3782001871,1.8691033306,-0.7284334376,0.5242973582,-0.4951815525
YDL173W,1.0890306841,-0.1435845368,0.5404167342,-0.3818979386,0.6712339757,0.2482656538,1.071966834,-1.8633465548,1.2153726634,-1.2223505702,0.7728177689,-1.8354856493,0.9032182644,-1.7827749751,0.6175772965,-1.968947168,1.3560436016,-2.1423431576,0.981751568,0.0913191456,0.6632151515,0.0146663125,0.3865867352,-0.2036139826
YER186C,0.9646176961,-0.1463359587,0.5470020342,-0.4365600136,0.7241937206,-0.1095434116,0.7870857965,-2.5216021353,1.0693591423,-1.9595322334,0.6548830018,-2.3739666735,0.6601975279,-2.3051841276,0.4745410906,-2.2882265115,1.2427067998,-2.9949846829,0.4907202919,-1.0925815987,0.5217872805,-0.5197969142,0.1939960795,-0.0819769048
YBR157C,2.8483076427,-0.2826333248,0.504450865,-0.6189081863,0.8551246104,0.0409420867,2.985635347,-0.05639698,2.6912306414,-0.8101292781,2.7909172556,-1.0813276909,3.1834878302,-0.8731127997,1.4233515464,-1.21296257,4.1600550024,-3.0855075681,1.5922555891,0.0749723341,3.2896095742,-0.3308313409,2.197981493,-0.3454481065
YBR041W,0.71858454,0.0719889217,0.3907277997,-0.0699929556,0.8439452725,0.0773767276,0.5758653091,-1.3607128455,0.6576150276,-0.6868755449,0.3533167174,-1.2398811522,0.6675206705,-2.174717811,0.315418746,-1.7668071301,1.3192336027,-3.9418052109,0.2465477132,0.9177089723,0.4529918989,0.2063345726,0.3439712791,-0.7162601722
YBR058C-A,1.1125959086,0.2634766922,0.4272846573,-0.1708114733,0.9075159144,-0.0090851338,0.9164749518,-1.938611473,1.3028595189,-0.7676093782,1.0725344096,-2.6935425942,1.1556970761,-1.8199589672,0.7168657267,-2.1209838523,2.1812725093,-3.3636458008,0.9782807718,0.3014605829,1.7313626854,-0.4795459596,0.8261950537,-1.62697336
YGR108W,1.0124445476,0.5959875718,0.744561034,-0.458593272,1.0674372906,-0.1264784836,3.1877277752,-1.5130887091,3.9867667375,-1.6689596261,1.1593118567,-1.2867236814,1.0507874235,-0.6207280621,1.0642937148,-2.1464558915,3.1587578964,-4.5536221753,2.015354039,-0.790098844,1.0307607657,-0.1649923277,0.6672952036,-0.305318142
YML128C,0.6726823671,-0.9373853252,0.3448839805,-0.2750115651,0.5690093519,0.0296734299,0.7408982692,-2.0777085503,0.6382204014,-1.475149552,0.3950277532,-1.4204054735,0.4791725286,-1.7236090707,0.4379668632,-2.1123942219,0.4982650772,-2.3492584685,0.4380896656,-0.8731598588,0.3732977316,0.0434039715,0.2715848226,-0.592715146
YEL032W,1.6463366655,0.2383815672,0.8120181455,-0.4092321108,0.9078001348,-0.1133986648,1.2405032308,-2.1829173217,2.0743242288,-1.9756506297,1.2302311267,-2.3815863569,1.3655267004,-2.9571075669,0.7344735272,-2.8784985767,2.7160157854,-3.402737578,1.1410847793,0.5915555857,1.4172168605,-0.4280324563,0.6816698129,-1.1524511306
YBR239C,1.2590118491,0.1293631615,0.3503717305,-0.1541339229,0.7162355478,-0.0528400531,0.7881428541,-1.9100137504,1.3014844318,-1.2121461407,0.8922135471,-2.4067186986,1.3053169494,-2.2856602345,0.4850840328,-2.497898303,1.6050478668,-2.6381379139,1.6580751366,0.1505227124,2.7876108542,-0.937587831,2.4537626496,-0.7187293041
YDL054C,0.2686036169,0.7897873506,0.6036524995,-0.7817695864,0.8650723263,0.0039525482,0.4943726334,-1.003121287,0.487803221,-0.3734833246,0.2452379547,-0.5248629911,0.3261604795,-0.8354741827,0.2698775831,-1.5323692054,0.8197756016,-2.9255701919,0.9242471964,0.2776328362,2.9406053612,-0.3408593358,0.9174719394,-1.0503072455
YHR201C,1.3268206815,0.4529514378,0.8067836762,-0.2496688385,0.922863819,-0.1604781476,1.286351677,-1.9945672447,1.794493393,-1.3842745806,1.2936936754,-2.1967408192,1.2466805461,-2.3748679083,0.707572721,-2.3153961226,1.9353897467,-2.6435459146,0.8928096703,0.1054782212,1.9645475831,-0.4671699226,0.7199723942,-1.2014781568
YML025C,2.7839804415,-0.1572710788,0.5893843495,-0.089972717,1.1665354895,-0.0052018134,2.2632726299,-1.2150730415,2.3425066236,-0.7429146433,1.9598692947,-2.0997058872,3.0120509976,-1.8220490458,1.3016729503,-2.0159102031,2.3684562927,-1.9326779585,1.1963697938,-0.2837604891,2.2247522558,-0.5780688527,1.6666960323,-1.0837355743
